Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,81,7,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,adverb,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,antecedent,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,attractor,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,onset,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,pronoun,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,verb,NA,NA,NA
experiment1,s1,110,8,pp,match,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_number,attractor_pronoun,NA,NA,NA
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,490,0,4
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,640,NA,4
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,520,0,4
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,onset,1886,NA,NA
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,410,0,3
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,verb,570,0,4
experiment1,s1,34,9,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,900,0,7
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,450,0,4
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,1020,NA,4
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,560,0,4
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,onset,1446,NA,NA
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,330,0,2
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,verb,600,0,4
experiment1,s1,12,10,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,780,0,6
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,51,11,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,13,12,ps,mismatch,plural,masculine,FALSE,yes,no_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,111,13,ss,match,singular,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,410,0,4
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,480,NA,4
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,onset,2076,NA,NA
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,380,0,3
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,verb,440,0,4
experiment1,s1,80,14,sp,mismatch,singular,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,790,0,7
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,61,15,ps,mismatch,plural,feminine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,adverb,400,0,4
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,antecedent,930,NA,4
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,onset,1456,NA,NA
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,pronoun,420,0,3
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,verb,520,0,4
experiment1,s1,62,16,pp,match,plural,feminine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,820,0,7
