Subj,(Intercept),day
S308,0.06407826723771334,-0.01587754324968603
S309,0.034374092255665234,0.0014506120028354302
S310,0.0945891608682925,-0.012905142426210629
S330,-0.11266201819244276,0.02191986516995309
S331,-0.09351332874144813,0.017574522027460515
S332,-0.015599636008484491,0.002504628469699982
S333,-0.048987658296592906,0.008034545426440276
S334,0.025065117612006797,-0.005263479112972817
S335,-0.13778832852274236,0.031993689185138036
S337,-0.03690174211351538,0.002263563478359029
S349,0.09374292863222966,-0.017467760403559893
S350,0.09408782657696632,-0.020325828086451447
S351,-0.04489601403779013,0.00924673286883643
S352,0.0006308027364963498,-0.0031928998101241335
S369,-0.00293810152340232,-0.0004927259501776079
S370,0.13451383892834673,-0.02681737137946083
S371,-0.024116277104951622,0.004684591881460757
S372,-0.02366555395303871,0.002819808151990739
